StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q0,Q2,Q3,Q4,Q5,Q6,Q6_7_TEXT,Q7,Q8#1_1,Q8#1_2,Q8#1_3,Q8#2_1,Q8#2_2,Q8#2_3,QBhairav flute,Q2VrundavaniSarang,Q(Malkauns-flute),Q(Bhupali - flute),Q5GaudSarang-concert,Q(Bibhas - concert),Q7jaijaivant-concert,Q8Shankara,Q(Aeolian),Q(Dorian),Q(Ionian),Q(Lydian),Q(Mixolydian),Q(Phrygian),Q1aBhupali song,Q1b,Q2a,Q2b,Q3a(Malkauns song),Q3b,Q4a(Bhairav song),Q4b,Q,SC0
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Music and Circadian Rhythms Experiment Consent Form

Purpose 

You are being asked to be a volunteer in a research study. The purpose of this study is to better understand the relation between music perceptions and the circadian rhythms among listeners of different cultures. 

 

Ethics

This study has been reviewed by the Georgia Tech Institutional Review Board (IRB), and has been identified as “Minimal risk research under 45 CFR 46. (Protocol 21153). This study contains neither any personal benefits nor any known risks to you. 

 

Duration 

The survey should take approximately 15 - 20 minutes to complete. Your answers are extremely valuable to us and we thank you for participating in this survey. 

 

Confidentiality 

The study data will be collected anonymously. Data obtained though this survey will only be connected to your anonymous identity through Qualtrics and will be securely stored on a password-protected and encrypted computer for a minimum of 5 years as per Georgia Tech policy. In any final published version of this research, the identity of survey participants will not be disclosed. We will comply with any applicable laws and regulations regarding confidentiality. To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records. 

 

Rights

Your participation in this study is voluntary. You may refuse or discontinue your voluntary participation in this research study at any time. You do not waive any of your legal rights by agreeing to be in the study. 

 

Contacts and Questions

For questions, concerns, or complaints about the study, you may contact the P.I., Dr. Claire Arthur at: claire.arthur[at]gatech.edu or Rhythm Jain at: rjain354[at]gatech.edu. If you have any questions about your rights as a research subject, you may contact Ms. Melanie Clark, Georgia Institute of Technology at melanie.clark[at]oria.gatech.edu or by phone at (404) 894-6942. Consent Form Approved by Georgia Tech IRB: April 08, 2021 - Indefinite. By clicking the button below, you acknowledge the following-


 


	Your participation in the study is voluntary.
	You are 18 years or above.
	You are aware that you may choose to terminate your participation at any time for any reason.",Which age group do you fall under?,"Were you, your parents or your grandparents born in India?","If yes, which part of India do they belong to?",List of Countries,Which of the following matches your current sleep cycle? (Choose the one that matches the closest) - Selected Choice,Which of the following matches your current sleep cycle? (Choose the one that matches the closest) - Other (please specify) - Text,Do you consider yourself a musician? (Amateur or professional),Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Familiarity levels - Hindustani classical music,Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Familiarity levels - Carnatic classical music,Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Familiarity levels - Western classical music,Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Training levels - Hindustani classical music,Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Training levels - Carnatic classical music,Rate your familiarity and training levels with Hindustani classical music and Western classical m... - Training levels - Western classical music,"Listen to the clip below.




When would you want to listen to the clip?","Listen to the clip below. 


When would you most want to listen to the clip?","Listen to the clip below. 



When would you most want to listen to the clip?","Listen to the clip below. 




When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below. 




When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below. 




When would you most want to listen to the clip?","Listen to the clip below.



When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below.



When would you most want to listen to the clip?","Listen to the clip below.




When would you most want to listen to the clip?","Listen to the clip below. 




When would you most want to listen to the clip?",Did you recognize this song? (Change the answer to yes if you did!),"Listen to the clip below. 



When would you most want to listen to the clip?",Did you recognize this song? (Change the answer to yes if you did!),"Listen to the clip below. 


When would you most want to listen to the clip?",Did you recognize this song? (Change the answer to yes if you did!),"Listen to the clip below. 



When would you most want to listen to the clip?",Did you recognize this song? (Change the answer to yes if you did!),We would love to hear your thoughts and feedback about the survey. (For example: Was it interes,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID65""}","{""ImportId"":""QID9""}","{""ImportId"":""QID20""}","{""ImportId"":""QID28""}","{""ImportId"":""QID22""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_7_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID17#1_1""}","{""ImportId"":""QID17#1_2""}","{""ImportId"":""QID17#1_4""}","{""ImportId"":""QID17#2_1""}","{""ImportId"":""QID17#2_2""}","{""ImportId"":""QID17#2_4""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID59""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID42""}","{""ImportId"":""QID98""}","{""ImportId"":""QID43""}","{""ImportId"":""QID101""}","{""ImportId"":""QID44""}","{""ImportId"":""QID100""}","{""ImportId"":""QID46""}","{""ImportId"":""QID99""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""SC_eCN3idmMlUDTgAC""}"
2021-11-24 14:45:16,2021-11-24 14:52:36,0,100,439,1,2021-11-24 14:52:36,R_0wagGRczsZYmuFr,anonymous,EN,1,2,1,7,3,2,,4,2,2,3,1,2,4,3,2,1,3,3,4,4,4,1,4,3,3,1,4,1,1,4,1,3,1,3,1,"It was very interesting, and I could immediately imagine the time of day I would like to listen to this particular song at. ",3
2021-11-24 15:09:26,2021-11-24 15:18:40,0,100,553,1,2021-11-24 15:18:41,R_2v2BZw0VVjQTUgA,anonymous,EN,1,2,1,7,3,2,,4,2,3,1,2,2,1,2,2,1,1,3,3,3,3,4,4,2,1,2,2,2,1,2,1,4,1,2,1,"It was very interesting and I learnt about my own taste in music subject to different times of the day.
",4
2021-11-24 14:51:29,2021-11-24 15:30:26,0,100,2337,1,2021-11-24 15:30:27,R_2c5jy7963h5zGvZ,anonymous,EN,1,2,1,1,3,2,,5,2,1,2,2,1,1,1,1,1,1,3,3,3,1,3,3,4,1,1,4,4,1,1,1,2,1,3,1,Very interesting and the categories just felt right,2
2021-11-24 16:39:55,2021-11-24 17:04:31,0,100,1476,1,2021-11-24 17:04:31,R_1GTZviGppBhB9oP,anonymous,EN,1,2,1,7,3,4,,4,2,3,1,1,4,1,3,4,3,1,3,3,2,2,4,2,1,3,2,2,1,4,2,1,3,4,2,1,"It was a very interesting survey. The data had a good variety of ragas for Indian music and was wonderful to listen to. The time could have been mentioned in hours alongside the current labels in order to clearly define the time of the day as this could be subjective. ",1
2021-11-24 18:05:58,2021-11-24 18:39:18,0,100,1999,1,2021-11-24 18:39:18,R_3JE4W8bDL8bIBSN,anonymous,EN,1,2,7,,3,1,,4,1,1,2,1,1,3,4,3,3,1,2,3,2,2,4,4,1,1,2,2,2,1,2,1,1,1,3,1,"No specific question, but I'd say I knew how to answer the questions in the first few seconds of listening to the clips.",2
2021-11-25 07:15:16,2021-11-25 07:22:20,0,100,423,1,2021-11-25 07:22:21,R_1MQC0kMXOZUPqZs,anonymous,EN,1,2,1,1,3,2,,5,2,1,1,2,1,1,3,4,3,4,3,2,3,3,4,4,2,3,2,4,4,1,2,4,3,1,4,1,"Pretty interesting exercise!
Some answers may seem abstract, but as a personal preference I like to hear to more energetic music in the afternoon and more peaceful tunes throughout the evening or night as I unwind",2
2021-11-25 08:34:50,2021-11-25 09:04:19,0,100,1769,1,2021-11-25 09:04:20,R_1pYE9tXbmIdWtQe,anonymous,EN,1,2,1,7,3,4,,4,2,2,3,2,1,4,1,2,1,3,2,4,3,2,4,1,2,3,1,4,3,4,2,1,1,4,3,1,"It was interesting to listen to a mixture of instrumental and vocal music in different music styles and scales and try to associate the time of day to it. I feel like sometimes, the instruments themselves affected my answers and sometimes the memories associated with certain ragas made me decide on the time of the day. With the western melodies, my decision was also influenced by the instrumentation and imagining the context of the piece. For example, one of the orchestral pieces reminded me of an epic/adventure kind of a movie score which influenced my answer to the question. 

I am looking forward to seeing the results of the study. ",7
2021-11-25 09:08:42,2021-11-25 09:15:17,0,100,394,1,2021-11-25 09:15:17,R_269nTx22qVf0feC,anonymous,EN,1,2,1,1,6,2,,4,2,1,2,2,1,2,1,2,3,2,3,4,4,1,4,3,3,3,3,3,3,4,4,4,2,1,3,1,"Pretty interesting. I’d love to see the results. ",3
